12	70	165	44	6898	283	-84	367	-8	158	163	-14	292	32	11	25	89	47	57	78
4	80	162	46	6369	281	-65	346	9	164	164	4	928	146	8	66	428	49	49	414
4	80	162	46	6369	281	-65	346	9	164	164	4	928	146	8	66	428	49	49	414
1	177	162	44	7576	371	5	366	83	209	276	83	486	64	7	45	160	36	119	160
15	24	141	36	8318	231	-156	387	-69	105	133	-80	528	54	29	14	154	107	114	150
22	85	152	34	10035	315	-124	439	187	-44	215	-44	461	85	8	67	231	29	202	29
22	85	152	34	10035	315	-124	439	187	-44	215	-44	461	85	8	67	231	29	202	29
22	85	152	34	10035	315	-124	439	187	-44	215	-44	461	85	8	67	231	29	202	29
22	85	152	34	10035	315	-124	439	187	-44	215	-44	461	85	8	67	231	29	202	29
23	58	126	26	11930	289	-182	471	180	-104	204	-104	534	88	11	60	241	36	239	36
23	58	126	26	11930	289	-182	471	180	-104	204	-104	534	88	11	60	241	36	239	36
23	58	126	26	11930	289	-182	471	180	-104	204	-104	534	88	11	60	241	36	239	36
23	58	126	26	11930	289	-182	471	180	-104	204	-104	534	88	11	60	241	36	239	36
15	24	141	36	8318	231	-156	387	-69	105	133	-80	528	54	29	14	154	107	114	150
15	24	141	36	8318	231	-156	387	-69	105	133	-80	528	54	29	14	154	107	114	150
15	24	141	36	8318	231	-156	387	-69	105	133	-80	528	54	29	14	154	107	114	150
1	177	162	44	7576	371	5	366	83	209	276	83	486	64	7	45	160	36	119	160
1	177	162	44	7576	371	5	366	83	209	276	83	486	64	7	45	160	36	119	160
1	177	162	44	7576	371	5	366	83	209	276	83	486	64	7	45	160	36	119	160
16	12	130	36	7978	213	-144	357	-13	-82	119	-82	484	48	35	8	134	115	118	115
16	12	130	36	7978	213	-144	357	-13	-82	119	-82	484	48	35	8	134	115	118	115
16	12	130	36	7978	213	-144	357	-13	-82	119	-82	484	48	35	8	134	115	118	115
16	12	130	36	7978	213	-144	357	-13	-82	119	-82	484	48	35	8	134	115	118	115
16	12	130	36	7978	213	-144	357	-13	-82	119	-82	484	48	35	8	134	115	118	115
16	12	130	36	7978	213	-144	357	-13	-82	119	-82	484	48	35	8	134	115	118	115
1	177	162	44	7576	371	5	366	83	209	276	83	486	64	7	45	160	36	119	160
1	177	162	44	7576	371	5	366	83	209	276	83	486	64	7	45	160	36	119	160
2	197	159	44	7582	382	21	361	288	233	295	102	388	60	7	48	147	28	119	116
2	197	159	44	7582	382	21	361	288	233	295	102	388	60	7	48	147	28	119	116
2	197	159	44	7582	382	21	361	288	233	295	102	388	60	7	48	147	28	119	116
2	197	159	44	7582	382	21	361	288	233	295	102	388	60	7	48	147	28	119	116
2	197	159	44	7582	382	21	361	288	233	295	102	388	60	7	48	147	28	119	116
3	70	200	52	6676	266	-114	380	153	98	158	-13	450	90	13	65	228	46	192	82
2	197	159	44	7582	382	21	361	288	233	295	102	388	60	7	48	147	28	119	116
10	66	122	30	9697	266	-138	404	186	-52	186	-65	1082	108	67	12	294	226	294	229
10	66	122	30	9697	266	-138	404	186	-52	186	-65	1082	108	67	12	294	226	294	229
10	66	122	30	9697	266	-138	404	186	-52	186	-65	1082	108	67	12	294	226	294	229
10	66	122	30	9697	266	-138	404	186	-52	186	-65	1082	108	67	12	294	226	294	229
18	98	116	29	9967	292	-105	397	199	-39	219	-39	965	106	40	27	311	150	300	150
18	98	116	29	9967	292	-105	397	199	-39	219	-39	965	106	40	27	311	150	300	150
18	98	116	29	9967	292	-105	397	199	-39	219	-39	965	106	40	27	311	150	300	150
18	98	116	29	9967	292	-105	397	199	-39	219	-39	965	106	40	27	311	150	300	150
12	70	165	44	6898	283	-84	367	-8	158	163	-14	292	32	11	25	89	47	57	78
12	70	165	44	6898	283	-84	367	-8	158	163	-14	292	32	11	25	89	47	57	78
12	70	165	44	6898	283	-84	367	-8	158	163	-14	292	32	11	25	89	47	57	78
12	70	165	44	6898	283	-84	367	-8	158	163	-14	292	32	11	25	89	47	57	78
15	24	141	36	8318	231	-156	387	-69	105	133	-80	528	54	29	14	154	107	114	150
15	24	141	36	8318	231	-156	387	-69	105	133	-80	528	54	29	14	154	107	114	150
15	24	141	36	8318	231	-156	387	-69	105	133	-80	528	54	29	14	154	107	114	150
9	54	145	36	8604	280	-119	399	43	161	166	-56	393	43	23	18	113	74	83	108
9	54	145	36	8604	280	-119	399	43	161	166	-56	393	43	23	18	113	74	83	108
9	54	145	36	8604	280	-119	399	43	161	166	-56	393	43	23	18	113	74	83	108
9	54	145	36	8604	280	-119	399	43	161	166	-56	393	43	23	18	113	74	83	108
9	54	145	36	8604	280	-119	399	43	161	166	-56	393	43	23	18	113	74	83	108
9	54	145	36	8604	280	-119	399	43	161	166	-56	393	43	23	18	113	74	83	108
8	44	146	36	8626	268	-133	401	84	150	156	-66	437	52	28	17	132	95	103	109
8	44	146	36	8626	268	-133	401	84	150	156	-66	437	52	28	17	132	95	103	109
8	44	146	36	8626	268	-133	401	84	150	156	-66	437	52	28	17	132	95	103	109
8	44	146	36	8626	268	-133	401	84	150	156	-66	437	52	28	17	132	95	103	109
8	44	146	36	8626	268	-133	401	84	150	156	-66	437	52	28	17	132	95	103	109
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
7	131	145	44	6524	316	-11	327	63	218	218	55	406	73	3	79	206	15	15	201
